avg len,diameter,nodes,edges,density,degree,i
1.5,2,3361,2823240,0.5,1680,3361
1.5,2,3373,2843439,0.5,1686,3373
1.5,2,3389,2870483,0.5,1694,3389
1.5,2,3413,2911289,0.5,1706,3413
1.5,2,3433,2945514,0.5,1716,3433
1.5,2,3449,2973038,0.5,1724,3449
1.5,2,3457,2986848,0.5,1728,3457
1.5,2,3461,2993765,0.5,1730,3461
1.5,2,3469,3007623,0.5,1734,3469
1.0166666666666666,2,3481,5955991,0.9833333333333333,3422,3481
1.5,2,3517,3091443,0.5,1758,3517
1.5,2,3529,3112578,0.5,1764,3529
1.5,2,3533,3119639,0.5,1766,3533
1.5,2,3541,3133785,0.5,1770,3541
1.5,2,3557,3162173,0.5,1778,3557
1.5,2,3581,3204995,0.5,1790,3581
1.5,2,3593,3226514,0.5,1796,3593
1.5,2,3613,3262539,0.5,1806,3613
1.5,2,3617,3269768,0.5,1808,3617
1.5,2,3637,3306033,0.5,1818,3637
1.5,2,3673,3371814,0.5,1836,3673
1.5,2,3677,3379163,0.5,1838,3677
1.5,2,3697,3416028,0.5,1848,3697
1.5,2,3701,3423425,0.5,1850,3701
1.5,2,3709,3438243,0.5,1854,3709
1.5080645161290323,2,3721,3404715,0.49193548387096775,1830,3721
1.5,2,3733,3482889,0.5,1866,3733
1.5,2,3761,3535340,0.5,1880,3761
1.5,2,3769,3550398,0.5,1884,3769
1.5,2,3793,3595764,0.5,1896,3793
1.5,2,3797,3603353,0.5,1898,3797
1.5,2,3821,3649055,0.5,1910,3821
1.5,2,3833,3672014,0.5,1916,3833
1.5,2,3853,3710439,0.5,1926,3853
1.5,2,3877,3756813,0.5,1938,3877
1.5,2,3881,3764570,0.5,1940,3881
1.5,2,3889,3780108,0.5,1944,3889
1.5,2,3917,3834743,0.5,1958,3917
1.5,2,3929,3858278,0.5,1964,3929
1.5,2,3989,3977033,0.5,1994,3989
1.5,2,4001,4001000,0.5,2000,4001
1.5,2,4013,4025039,0.5,2006,4013
1.5,2,4021,4041105,0.5,2010,4021
1.5,2,4049,4097588,0.5,2024,4049
1.5,2,4057,4113798,0.5,2028,4057
1.5,2,4073,4146314,0.5,2036,4073
1.5,2,4093,4187139,0.5,2046,4093
1.5,2,4129,4261128,0.5,2064,4129
1.5,2,4133,4269389,0.5,2066,4133
1.5,2,4153,4310814,0.5,2076,4153
1.5,2,4157,4319123,0.5,2078,4157
1.5,2,4177,4360788,0.5,2088,4177
1.5,2,4201,4411050,0.5,2100,4201
1.5,2,4217,4444718,0.5,2108,4217
1.5,2,4229,4470053,0.5,2114,4229
1.5,2,4241,4495460,0.5,2120,4241
1.5,2,4253,4520939,0.5,2126,4253
1.5,2,4261,4537965,0.5,2130,4261
1.5,2,4273,4563564,0.5,2136,4273
1.5,2,4289,4597808,0.5,2144,4289
1.5,2,4297,4614978,0.5,2148,4297
1.5,2,4337,4701308,0.5,2168,4337
1.5,2,4349,4727363,0.5,2174,4349
1.5,2,4357,4744773,0.5,2178,4357
1.5,2,4373,4779689,0.5,2186,4373
1.5,2,4397,4832303,0.5,2198,4397
1.5,2,4409,4858718,0.5,2204,4409
1.5,2,4421,4885205,0.5,2210,4421
1.5,2,4441,4929510,0.5,2220,4441
1.5,2,4457,4965098,0.5,2228,4457
1.5,2,4481,5018720,0.5,2240,4481
1.0147058823529411,2,4489,9925179,0.9852941176470589,4422,4489
1.5,2,4493,5045639,0.5,2246,4493
1.5,2,4513,5090664,0.5,2256,4513
1.5,2,4517,5099693,0.5,2258,4517
1.5,2,4549,5172213,0.5,2274,4549
1.5,2,4561,5199540,0.5,2280,4561
1.5,2,4597,5281953,0.5,2298,4597
1.5,2,4621,5337255,0.5,2310,4621
1.5,2,4637,5374283,0.5,2318,4637
1.5,2,4649,5402138,0.5,2324,4649
1.5,2,4657,5420748,0.5,2328,4657
1.5,2,4673,5458064,0.5,2336,4673
1.5,2,4721,5570780,0.5,2360,4721
1.5,2,4729,5589678,0.5,2364,4729
1.5,2,4733,5599139,0.5,2366,4733
1.5,2,4789,5732433,0.5,2394,4789
1.5,2,4793,5742014,0.5,2396,4793
1.5,2,4801,5761200,0.5,2400,4801
1.5,2,4813,5790039,0.5,2406,4813
1.5,2,4817,5799668,0.5,2408,4817
1.5,2,4861,5906115,0.5,2430,4861
1.5,2,4877,5945063,0.5,2438,4877
1.5,2,4889,5974358,0.5,2444,4889
1.5,2,4909,6023343,0.5,2454,4909
1.5276872964169381,2,4913,5699080,0.4723127035830619,2320,4913
1.5,2,4933,6082389,0.5,2466,4933
1.5,2,4937,6092258,0.5,2468,4937
1.5,2,4957,6141723,0.5,2478,4957
1.5,2,4969,6171498,0.5,2484,4969
1.5,2,4973,6181439,0.5,2486,4973
1.5,2,4993,6231264,0.5,2496,4993
1.5,2,5009,6271268,0.5,2504,5009
1.5,2,5021,6301355,0.5,2510,5021
1.0138888888888888,2,5041,12526885,0.9861111111111112,4970,5041
1.5,2,5077,6442713,0.5,2538,5077
1.5,2,5081,6452870,0.5,2540,5081
1.5,2,5101,6503775,0.5,2550,5101
1.5,2,5113,6534414,0.5,2556,5113
1.5,2,5153,6637064,0.5,2576,5153
1.5,2,5189,6730133,0.5,2594,5189
1.5,2,5197,6750903,0.5,2598,5197
1.5,2,5209,6782118,0.5,2604,5209
1.5,2,5233,6844764,0.5,2616,5233
1.5,2,5237,6855233,0.5,2618,5237
1.5,2,5261,6918215,0.5,2630,5261
1.5,2,5273,6949814,0.5,2636,5273
1.5,2,5281,6970920,0.5,2640,5281
1.5,2,5297,7013228,0.5,2648,5297
1.5,2,5309,7045043,0.5,2654,5309
1.5067567567567568,2,5329,7002306,0.49324324324324326,2628,5329
1.5,2,5333,7108889,0.5,2666,5333
1.5,2,5381,7237445,0.5,2690,5381
1.5,2,5393,7269764,0.5,2696,5393
1.5,2,5413,7323789,0.5,2706,5413
1.5,2,5417,7334618,0.5,2708,5417
1.5,2,5437,7388883,0.5,2718,5437
1.5,2,5441,7399760,0.5,2720,5441
1.5,2,5449,7421538,0.5,2724,5449
1.5,2,5477,7498013,0.5,2738,5477
1.5,2,5501,7563875,0.5,2750,5501
1.5,2,5521,7618980,0.5,2760,5521
1.5,2,5557,7718673,0.5,2778,5557
1.5,2,5569,7752048,0.5,2784,5569
1.5,2,5573,7763189,0.5,2786,5573
1.5,2,5581,7785495,0.5,2790,5581
1.5,2,5641,7953810,0.5,2820,5641
1.5,2,5653,7987689,0.5,2826,5653
